OBJECTID,DAUID,CCSNAME,CSDTYPE,CTUID,OBJECTID_1,DAUID_1,Geography,DA_Pop,F0_to_14_years,F0_to_4_years,Under_1_year,F1,F2,F3,F4,F5_to_9_years,F5,F6,F7,F8,F9,F10_to_14_years,F10,F11,F12,F13,F14,F15_to_64_years,F15_to_19_years,F15,F16,F17,F18,F19,F20_to_24_years,F20,F21,F22,F23,F24,F25_to_29_years,F25,F26,F27,F28,F29,F30_to_34_years,F30,F31,F32,F33,F34,F35_to_39_years,F35,F36,F37,F38,F39,F40_to_44_years,F40,F41,F42,F43,F44,F45_to_49_years,F45,F46,F47,F48,F49,F50_to_54_years,F50,F51,F52,F53,F54,F55_to_59_years,F55,F56,F57,F58,F59,F60_to_64_years,F60,F61,F62,F63,F64,F65_years_and_over,F65_to_69_years,F65,F66,F67,F68,F69,F70_to_74_years,F70,F71,F72,F73,F74,F75_to_79_years,F75,F76,F77,F78,F79,F80_to_84_years,F80,F81,F82,F83,F84,F85_years_and_over,F85_to_89_years,F85,F86,F87,F88,F89,F90_to_94_years,F90,F91,F92,F93,F94,F95_to_99_years,F95,F96,F97,F98,F99,F100_years_and_over,Average_age,PercentCityPop,Shape__Area,Shape__Length
1,13060013,Coverdale,TV,3050101.00,522,13060013,13060013 (13060013)   00000 (  4.1%),425,70,20,0,10,5,5,5,20,0,5,5,5,5,30,5,10,5,5,5,265,25,5,5,10,5,5,30,10,10,5,5,5,15,5,5,0,5,5,25,0,0,0,10,5,25,0,5,10,5,10,25,0,5,10,5,5,35,10,10,0,5,5,30,0,5,10,0,10,30,5,10,5,5,5,30,5,5,10,10,5,100,35,10,10,5,5,10,25,5,5,0,10,5,15,0,5,10,5,0,10,0,5,5,0,0,10,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,,2.2284165979e-05,0.021979115637745
2,13060014,Coverdale,TV,3050102.01,523,13060014,13060014 (13060014)   00000 (  4.6%),735,95,25,0,0,0,5,5,35,0,10,5,5,15,40,0,10,5,10,10,510,50,15,10,5,10,5,50,5,15,15,10,10,30,5,5,5,5,5,45,10,10,10,10,5,35,10,10,5,5,10,50,15,10,10,15,10,60,20,10,10,10,10,70,20,15,15,15,5,50,15,10,10,15,5,75,15,20,15,15,10,130,70,10,20,10,20,15,30,10,10,5,10,5,20,5,5,5,5,0,5,0,5,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,43,,0.000186118143344,0.064315576002955
3,13060017,Coverdale,TV,3050102.01,524,13060017,13060017 (13060017)   00000 (  0.4%),510,80,30,5,5,5,5,10,20,5,0,5,5,5,35,10,5,10,5,5,345,30,5,5,5,5,10,40,10,10,5,5,10,25,5,5,5,5,5,25,5,10,5,5,5,35,10,5,5,0,10,30,5,5,5,5,5,45,10,5,10,5,10,55,5,15,10,15,5,30,10,5,5,5,5,35,10,10,10,5,5,85,35,5,10,5,5,10,30,5,5,10,5,5,15,5,0,0,0,5,5,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9,,2.7359104867e-05,0.033467798011358
4,13060018,Coverdale,TV,3050102.01,525,13060018,13060018 (13060018)   00000 (  1.9%),460,60,15,5,0,5,0,5,20,0,5,0,5,5,20,5,5,5,5,5,280,25,5,0,5,5,5,25,5,5,5,5,0,15,0,0,5,5,5,20,5,10,0,5,0,40,10,5,10,5,10,35,10,10,10,5,10,20,5,5,5,0,10,45,10,10,15,10,5,25,5,0,0,10,5,25,5,10,5,5,0,120,30,5,5,5,5,10,45,10,5,10,10,10,25,10,5,10,5,5,10,0,5,5,0,0,10,10,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,45.6,,2.3625740023e-05,0.027234180532984
5,13060019,Coverdale,TV,3050102.01,526,13060019,13060019 (13060019)   00000 (  3.7%),540,70,30,5,10,0,5,5,20,5,5,5,10,5,20,5,5,5,5,5,375,30,5,5,5,5,5,45,5,5,5,15,15,35,10,5,5,10,5,45,5,15,10,10,10,35,10,10,5,10,5,45,10,5,10,20,10,40,5,5,5,10,5,35,5,5,5,5,10,35,10,10,5,5,5,30,5,10,5,10,0,95,30,5,5,10,10,5,20,5,5,0,5,10,25,5,5,5,5,0,15,0,0,5,5,0,10,5,5,5,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,41.5,,3.6900937635e-05,0.030674758994718
6,13060020,Coverdale,TV,3050102.02,527,13060020,13060020 (13060020)   00000 (  3.9%),575,70,25,0,10,0,5,5,25,5,5,0,5,5,25,5,5,5,5,5,365,25,0,5,5,5,5,50,5,10,10,15,10,35,5,5,10,5,5,35,5,10,5,10,5,35,10,5,0,5,5,35,10,10,5,0,10,35,5,10,5,0,10,45,10,10,5,10,10,30,5,5,5,10,5,45,5,10,10,10,10,140,40,5,10,10,15,5,35,10,10,5,10,5,30,5,5,10,5,5,20,10,0,5,5,0,15,10,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44.5,,1.7206805027e-05,0.020617543489667
7,13020083,Saint James,P, ,212,13020083,13020083 (13020083)   00000 (  1.5%),340,45,20,5,5,0,5,5,10,5,0,5,0,0,15,0,0,5,0,10,230,25,5,0,5,5,10,10,5,0,5,0,5,15,0,0,5,0,0,20,0,5,0,5,5,15,0,5,0,5,0,35,5,5,0,5,10,20,5,0,0,10,5,30,5,5,5,10,10,25,5,5,5,5,5,40,5,15,5,10,5,65,25,5,5,5,0,5,20,5,0,0,5,5,10,0,5,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,,0.007192076889699,0.469019948409685
8,13060059,Hillsborough,VL,3050100.00,544,13060059,13060059 (13060059)   00000 (  3.3%),340,45,20,5,0,5,5,5,10,5,0,5,5,5,25,0,5,10,5,0,195,15,5,5,5,0,5,20,0,5,5,0,5,15,0,5,0,5,5,10,0,5,0,5,5,20,5,5,5,0,5,15,5,5,5,0,0,20,0,0,10,0,5,30,5,5,5,5,15,20,5,10,5,0,0,25,5,5,5,5,10,100,30,0,5,0,5,10,15,5,5,5,0,5,15,5,5,0,5,5,20,5,5,5,5,10,10,10,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,47.6,,0.000583037725577,0.143132747604816
9,13060060,Hillsborough,P,3050100.00,498,13060060,13060060 (13060060)   00000 (  2.7%),460,70,20,10,0,5,5,5,25,5,5,10,5,10,25,5,5,5,0,10,295,35,5,5,10,5,5,10,0,5,0,5,0,20,0,5,5,5,10,15,0,0,0,0,5,25,0,5,5,5,5,35,0,5,5,15,5,35,5,5,10,10,5,35,0,10,5,10,5,45,5,15,10,10,10,40,10,10,10,5,5,95,45,5,10,5,15,10,30,0,10,0,5,5,10,0,0,5,0,0,10,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44,,0.014038476118905,0.669718841191965
10,13060061,Hopewell,P,3050120.00,485,13060061,13060061 (13060061)   00000 (  3.2%),260,25,5,0,0,5,0,0,10,5,5,5,0,0,15,0,0,5,0,10,170,15,0,0,0,5,0,15,0,0,5,0,5,5,0,0,0,5,0,10,5,0,0,0,5,15,0,0,0,5,5,15,0,0,0,5,0,15,0,10,5,0,5,25,5,5,10,5,5,35,10,5,5,15,5,30,5,10,5,5,5,65,25,5,5,10,5,0,15,0,5,0,0,0,10,5,0,0,0,0,10,0,5,0,5,0,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8,,0.007284740262587,0.437440993628853
