FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,PN43W5,Nashwaak Trail, ,Ward 5, ,769.168520774,5816.30250002,6.75336433e-07,0.007024191283208
2,PN43W5,Nashwaak Trail, ,Ward 5, ,8079.18374589,82229.2700008,9.550351043e-06,0.082767868746614
3,PS33W9,Massey Street Park, ,Ward 9, ,598.129160707,8082.29249998,9.37922523e-07,0.006659341170254
4,PN44W4,Massey Street Park, ,Ward 4, ,737.036844436,23638.7562502,2.744252411e-06,0.00810567385068
5,PN44W4,McEvoy Street Park, ,Ward 4, ,109.82271987,478.20999994,5.5517583e-08,0.001245147646033
6,PN45W1,McGregor Street Park, ,Ward 1, ,643.090796728,18589.3484446,2.158558602e-06,0.007272817168244
7,PN47W5,McKinley Avenue Park, ,Ward 5, ,114.021805568,761.337500007,8.8434423e-08,0.00128869441666
8,PN48W2,McKnight Street Park, ,Ward 2,Undeveloped,1321.13215359,45325.44125,5.264246846e-06,0.014276942558036
9,PN49W2,McLeod Hill Road Land, ,Ward 2,Undeveloped,261.868779677,3889.04000008,4.51775073e-07,0.002714876261849
10,PS22W8,Kimble Drive Park, ,Ward 8, ,1481.26601755,82921.1458897,9.619882492e-06,0.01664247594239
11,PN50W2,McLeod Hill Road Park, ,Ward 2,Undeveloped,660.652265126,9174.66624984,1.065598972e-06,0.006925356856868
12,PS29W7,Lincoln Trail, ,Ward 7, ,1389.37147228,22119.4337498,2.565976974e-06,0.017066190185222
13,PN53W3,Melvin Street Park, ,Ward 3, ,312.6229218,3202.5674999,3.71874204e-07,0.003491619459038
14,PS61W7,Vanier Trail, ,Ward 7, ,1610.16248225,17907.7825,2.076396549e-06,0.017377415358823
15,PS34W9,Mitchell Street Park, ,Ward 9,Undeveloped,228.235979833,2089.14499987,2.42445464e-07,0.002303310044847
16,PN52W4,Murray Avenue Park, ,Ward 4, ,533.261658226,6258.21357102,7.26576651e-07,0.005855489525684
17,PN43W5,Lincoln Trail, ,Ward 7, ,1172.89077847,11454.5950003,1.329835369e-06,0.01156753303961
18,PS35W9,Pembroke Crescent Park, ,Ward 9,Undeveloped,1043.40640507,17134.6675,1.988575001e-06,0.011316733414117
19,PS29W11,Lincoln Trail, ,Ward 11, ,1537.99212978,14182.5862501,1.645727892e-06,0.015445737417896
20,PN53W2,Nashwaaksis Commons, ,Ward 2, ,2412.74221019,96726.92125,1.1230909309e-05,0.026318971795317
21,PN56W1,NorthSide Trail, ,Ward 1, ,1359.20286972,13547.4625007,1.573016378e-06,0.017435419313959
22,PN54W2,Nashwaaksis Arena, ,Ward 2, ,536.521949846,16908.8775,1.963342554e-06,0.005743676612778
23,PN55W2,Neville Street Park, ,Ward 2, ,276.972064894,3501.02624995,4.06577567e-07,0.003075253381957
24,PN77W1,Manresa Drive Open Space, ,Ward 1,Undeveloped,1724.12803691,10257.5476947,1.191201985e-06,0.019396539282698
25,PN56W4,NorthSide Trail, ,Ward 4, ,835.368401242,8326.53250025,9.6652051e-07,0.008354740422895
26,PN56W4,NorthSide Trail, ,Ward 4, ,713.412003387,3768.53750017,4.37448836e-07,0.00785908717767
27,PS21W12,Islandview Park, ,Ward 12, ,606.454437962,11019.4050001,1.279120932e-06,0.007132826161442
28,PN56W4,NorthSide Trail, ,Ward 4, ,801.459075038,7318.39249993,8.49589551e-07,0.008488494296584
29,PN78W3,Cherry / Douglas Trail, ,Ward 3, ,726.430488178,9133.81124955,1.06073438e-06,0.008141344761739
30,PN56W3,NorthSide Trail, ,Ward 3, ,559.457631717,5194.29499986,6.03080446e-07,0.00681349861144
31,PS29W11,Lincoln Trail, ,Ward 11, ,963.773605585,8908.04874994,1.033769141e-06,0.01007179039332
32,PN4W2,Barton Crescent Park,City of Fredericton,Ward 2, ,517.887475161,6889.85749994,8.00194189e-07,0.005904968251266
33,PN56W3,NorthSide Trail, ,Ward 3, ,884.213899201,8535.28875043,9.91005599e-07,0.010771687933957
34,PN14W5,Cowperthwaite Park,City of Fredericton,Ward 5, ,360.268347212,6495.12000022,7.54309278e-07,0.004178404558135
35,PN56W2,NorthSide Trail, ,Ward 2, ,894.429953529,7130.27499981,8.2793185e-07,0.010539780766196
36,PN56W4,NorthSide Trail, ,Ward 4, ,678.01381663,6466.23624997,7.50657006e-07,0.00738133919126
37,PN56W2,NorthSide Trail, ,Ward 2, ,935.758622843,8900.12124993,1.033486087e-06,0.010640969974571
38,PN1W1,Adney Street Park, ,Ward 1, ,397.998657001,6388.69374971,7.41831053e-07,0.004454411948649
39,PN56W2,NorthSide Trail, ,Ward 2, ,483.817339274,4033.13750001,4.68349013e-07,0.005174753075016
40,PS2W8,Ascot Drive Park, ,Ward 8,Undeveloped,640.376587703,5849.64124987,6.78721333e-07,0.006869896350525
41,PN56W2,NorthSide Trail, ,Ward 2, ,215.422643613,1452.08220375,1.68625944e-07,0.002638791586048
42,PS61W7,Vanier Trail, ,Ward 7, ,453.485974291,5548.39500005,6.43300862e-07,0.005128952186105
43,PN56W1,NorthSide Trail, ,Ward 1, ,4409.16625107,43599.4427821,5.062651456e-06,0.05523693446262
44,PS12W8,Dover Crescent Park, ,Ward 8, ,349.487051817,5458.98250011,6.33326959e-07,0.003968182375841
