X,Y,OBJECTID,Name
-66.617728,45.951572,1,Barker's Point
-66.645411,45.981313,2,Park St. School
-66.684567,45.978727,3,Kent St.
-66.633466,45.935121,4,Woodbridge
-66.664119,45.947055,5,Massey St.
-66.766565,45.962286,6,Silverwood
-66.641551,45.973288,7,Riverside
-66.624381,45.922711,8,Southwood
-66.65547,45.964403,9,Wilmot
-66.592666,45.909375,10,Piercy Cres.
-66.620307,45.965153,11,Henry Park
-66.595137,45.978117,12,Marysville
-66.640681,45.953875,13,Queen Square
-66.666354,45.986243,14,Royal Road
-66.628598,46.016149,15,Killarney Lake Beach
